,stars,text,title,review_date,rating,clean_text,sentiment
0,2.0 out of 5 stars,"









  
  
    
  Very badStorage capacity very bad.Value for money zero.1) when I go for feed back on my order 128gb memory card , it's goes on my old order of 64gb memory card.2) when I compare my 64gb memory card & new 128gb card ..Both are same class i order but look so different in colour & matireal.3) when I put new 128gb memory card in mobile , it's instantly restart automatically.4)  i format new 128gb memory card and put 300mb & 800mb files for check deta transfer speed it's stuck and saw me read & write error and instantly restart again my mobile and saw me transfer speed 00kb ....very bad experience this time....I give 2 star due to Amazon service either this time I got very bad memory card & product.

  
",Waste of money,Reviewed in India on 4 December 2018,2,very badstorage capacity very bad value for money zero when I go for feed back on my order gb memory card it be go on my old order of gb memory card when I compare my gb memory card new gb card both be same class order but look so different in colour matireal when I put new gb memory card in mobile it be instantly restart automatically format new gb memory card and put mb mb file for check deta transfer speed it be stick and see me read write error and instantly restart again my mobile and see me transfer speed kb very bad experience this time I give star due to Amazon service either this time I get very bad memory card product,neg
1,1.0 out of 5 stars,"









  
  
    
  It's the second time i got bluffed.Now it got "" Write protected"" itself.Only readable on PC even then can't format or delete anything from it.As stored data is confidential even can't take it to samsung service center.In nutshell,its just samsung's unfair practise to make such product in a way, so innocent customer buy it again & again.Very disappointed !!!!!

  
",Samsung bluff master !!!,Reviewed in India on 11 December 2017,1,It be the second time get bluff now it get write protect itself only readable on pc even then can not format or delete anything from it as store data be confidential even can not take it to samsung service center in nutshell its just samsung unfair practise to make such product in way so innocent customer buy it again again very disappointed,neg
2,5.0 out of 5 stars,"









  
  
    
  This is my fourth Samsung evo microsd and am buying repeatedly since I am confident about quality and performance. I use it for my car dash cam which means it is put to test in the harshest environment continuously and has come out with flying colours so far.

  
",Excellent microsd esp for dash cams,Reviewed in India on 18 March 2019,5,this be my fourth Samsung evo microsd and be buy repeatedly since I be confident about quality and performance I use it for my car dash cam which mean it be put to test in the harsh environment continuously and have come out with fly colour so far,neu
3,5.0 out of 5 stars,"









  
  
    
  Excellent companion for your phone.This is here is high graded SD card.Most people don't know that there are diff grade levels of speed.It definitely makes a difference if u have apps swapped to it external storage or if u root.

  
",Good Value for money,Reviewed in India on 7 January 2019,5,excellent companion for your phone this be here be high grade sd card Most people do not know that there be diff grade level of speed It definitely make difference if have app swap to it external storage or if root,pos
4,5.0 out of 5 stars,"









  
  
    
  👉Free up your devices with the largest capacity and highest read/write speeds in Samsung's class, perfect for full HD video - with astonishing performance and reliability, Evo Plus lets you save and treasure the richness of life👉Record and play full HD video - with ultra-fast read and write speeds up to 95mbps and 20mbps respectively, the 32GB Evo Plus lets you transfer a 3GB video to your notebook in just 38 seconds👉Never worry about space again - with massive amounts of storage the 32GB Evo Plus is enough memory for up to 1 hour and 30 minutes of 4K UHD video, 4 hours of full HD video, 7,500 photos or 3,000 songs👉Interface: UHS-I, compatible to HS interface. For products incompatible with UHS-I interface, the speeds may vary subject to different interface conditions👉You can even capture detailed full HD video for any query please contact 1800 3000 8282👉The included SD adapter fits most devices under almost every brand name, while preserving all of Evo Plus's outstanding speed and performance👉Capacity: 32 GB, (1 GB = 1 Billionbyte) * Actual storage capacity may be lower than the labeled capacity. Part of the storage may be used for system files and other storage control purposes.

  
",Excellent one,Reviewed in India on 2 November 2018,5,dFree up your device with the large capacity and high read write speed in Samsung class perfect for full hd video with astonishing performance and reliability Evo Plus let you save and treasure the richness of lifedrecord and play full hd video with ultra fast read and write speed up to mbps and mbps respectively the GB Evo Plus let you transfer GB video to your notebook in just secondsdnever worry about space again with massive amount of storage the GB Evo Plus be enough memory for up to hour and minute of UHD video hour of full hd video photo or songsdinterface UHS I compatible to HS interface for product incompatible with UHS I interface the speed may vary subject to different interface conditionsdyou can even capture detail full hd video for any query please contact dthe include sd adapter fit most device under almost every brand name while preserve all of Evo Plus outstanding speed and performancedcapacity GB GB Billionbyte actual storage capacity may be low than the label capacity part of the storage may be use for system file and other storage control purpose,pos
5,5.0 out of 5 stars,"









  
  
    
  It has only been a couple of months when I bought this card so can’t comment on durability.  All cards are equally easy to use so here also, nothing can be said about this particular product. As regards last point of storage capacity, when I am buying 64 GB card, it will give me 64 GB storage space so what is so special about it?Anyway, this card is fast enough for my highest quality full HD video being streamed from my video camera or even from DSLR.

  
",Data transfer rate is good and adequate,Reviewed in India on 8 February 2018,5,It have only be couple of month when I buy this card so canat comment on durability all card be equally easy to use so here also nothing can be say about this particular product as regard last point of storage capacity when I be buy GB card it will give me GB storage space so what be so special about itAnyway this card be fast enough for my high quality full hd video be stream from my video camera or even from DSLR,pos
6,5.0 out of 5 stars,"









  
  
    
  Both the 64GB memory card and adapter are in good condition. At Rs 699 got a substantial discount the MRP being Rs 1899. Recorded 4K UHD videos on my Asus Zenfone Max Pro M1. Could play it back without any lag. Copied to my old Windows 7 Lenovo Z580 laptop using the adapter in the microSD card slot. Could save the 4K file easily on the laptop. Tried the memory card + adapter in my DSLR Canon 1300 D. Saves pics fast and easy. Don't know whether it could record 4K UHD videos in the card as my DSLR does'nt have that high resolution. But the mobile does. 4KUHS 1 requires 4.2 gb for a 01 hr video and 4K UHD requires around 32 GB for the same duration. The microSD card has been manufactured in the Phillipines and has a 10 yr warranty. But the adapter is of Chinese make and has a warranty of only 01 yr. Edges of the microSD card are white. So its definitely an original Samsung one. It could be a good back up card for even professional photographers.

  
",Genuine. Fabulous discount.,Reviewed in India on 29 September 2019,5,both the GB memory card and adapter be in good condition at get substantial discount the MRP be record UHD video on my Asus Zenfone Max Pro Could play it back without any lag copied to my old Windows Lenovo laptop use the adapter in the microSD card slot Could save the file easily on the laptop try the memory card adapter in my dslr Canon Saves pic fast and easy do not know whether it could record UHD video in the card as my DSLR doesnt have that high resolution but the mobile do kuhs require gb for hr video and UHD require around GB for the same duration the microSD card have be manufacture in the Phillipines and have yr warranty but the adapter be of chinese make and have warranty of only yr edge of the microSD card be white so its definitely an original Samsung It could be good back up card for even professional photographer,pos
7,4.0 out of 5 stars,"









  
  
    
  Capacity and working was goodThe packaging was really good even for a memory card which one can easily misunderstand for a mobile or similar stuff visuall.However there are a lot of fake ones available so in order to find out which one is real and which is fake check the sides of the memory card.The real ones edges will be white in colour while the fake ones have black coloured edges.Fast data transferring Adapter is include with this card.Pros:-1- The read/write speed of the card through the adapter is around 50/25 mbps.2- The read/write speed of the card through my mobile ZenFone 2 ZE550ML variant with the original cable is around 40/28 mbps well technically it is more than what we get through the original adapter.3- The card really is water proof since I accidentally dropped a glass of water on it and it was still working fine without any problems.4-This card is really fast so fast that I have like 40 movies on my mobile(literally and I am not joking) 10 GB of video songs and a few pictures and stuff and even with only 300 MB of free space the memory card never hangs.5- I usually carry a lot of movies and compressed RAR files I have like roughly 900 files on my memory card right now and I was able to copy around 40 GB of this data using my mobile cable not THROUGH a adapter in 30 minutes give or take 3 minutes from my pc to the card.6- I copied the same data back to my pc using the same setup and was able to copy them all in comically the same amount of time.160 people found this helpful

  
",Good,Reviewed in India on 4 December 2018,4,Capacity and working be goodThe packaging be really good even for memory card which can easily misunderstand for mobile or similar stuff visuall however there be lot of fake one available so in order to find out which be real and which be fake check the side of the memory card the real one edge will be white in colour while the fake one have black coloured edge fast datum transfer Adapter be include with this card Pros the read write speed of the card through the adapter be around mbps the read write speed of the card through my mobile ZenFone ZEML variant with the original cable be around mbps well technically it be more than what we get through the original adapter the card really be water proof since I accidentally drop glass of water on it and it be still work fine without any problemsThis card be really fast so fast that I have like movie on my mobileliterally and I be not joke GB of video song and few picture and stuff and even with only mb of free space the memory card never hangs I usually carry lot of movie and compress RAR file I have like roughly file on my memory card right now and I be able to copy around GB of this datum use my mobile cable not THROUGH adapter in minute give or take minute from my pc to the card I copy the same datum back to my pc use the same setup and be able to copy them all in comically the same amount of time people find this helpful,pos
8,5.0 out of 5 stars,"









  
  
    
  Remember that in SD Cards, there are Classes and Grades and UHS I and II and... UGH!  Gets a bit crazy. I think right now Class V90 UHS II are fastest, but really even the UHS I cards are PLENTY fast enough unless you're recording 4K video or you're always copying gigs and gigs regularly... and they're much cheaper too!So... this card was exactly as described.  Comes with bigger SD adapter so you can use in PC or phone/tablet.  Tested it using some free tools and its speed is what it should be.  Of course you don't get the actual advertised capacity in ANY storage device you buy, which is ridiculous, but that's the way it is.Had a couple SanDisk cards and one failed after almost five years (which is not too bad)... thought I'd try Samsung this time since it is so well-rated.I will update my review if things change, but so far I'm happy with this card... have pounded it hard over the past couple days and it's doing great!  Doesn't get hot either.I think you will not be disappointed.  Thanks, and please click ""Helpful"" below...

  
",Great!,Reviewed in India on 2 February 2019,5,remember that in SD Cards there be Classes and Grades and UHS and II and UGH get bit crazy I think right now Class UHS II be fast but really even the UHS I card be plenty fast enough unless you be record video or you be always copy gig and gig regularly and they be much cheap tooso this card be exactly as describe come with big sd adapter so you can use in pc or phone tablet test it use some free tool and its speed be what it should be of course you do not get the actual advertise capacity in any storage device you buy which be ridiculous but that be the way it be have couple SanDisk card and fail after almost year which be not too bad think I would try Samsung this time since it be so well rate I will update my review if thing change but so far I be happy with this card have pound it hard over the past couple day and it be do great do not get hot either I think you will not be disappoint thanks and please click helpful below,pos
9,1.0 out of 5 stars,"









  
  
    
  Stopped working after a week of purchase

  
",Worst product,Reviewed in India on 18 October 2019,1,Stopped work after week of purchase,neg
10,5.0 out of 5 stars,"









  
  
    
  Product = Seems Original, made in Philippines with white edges.Memory= Reflects arround 63+ GB in storage in settings of phone, but arround 58 GB if checked through other means like in storage setting of Chrome. Not checked on PC.Write Speed= Speed fluctuates from 10 MB/s to 60 MB/s, (on average 30 to 40+ MB/s) from phone's internal storage to the card, though it depends on the file system, but it was really very fast. One can easily transfer very huge files in seconds.Packaging = Packaging was decent enough from the seller and as usual from the manufacturer.Card Adapter= Made in China, haven't used it yet.My verdict= Perfectly good and one must go for it.

  
","Perfectly Good, Thanks for the original product.",Reviewed in India on 10 June 2019,5,product seem Original make in Philippines with white edge Memory Reflects arround GB in storage in setting of phone but arround GB if check through other mean like in storage setting of Chrome not check on pcwrite speed speed fluctuate from mb to mb on average to mb from phone internal storage to the card though it depend on the file system but it be really very fast can easily transfer very huge file in second Packaging Packaging be decent enough from the seller and as usual from the manufacturer card Adapter make in China have not use it yet My verdict perfectly good and must go for it,pos
11,5.0 out of 5 stars,"









  
  
    
  I recieved the memory Card today for Rs 619.Tested it properly.Working Fine.I Got 29.8 gb Usable memory.Transfer speed was about 17 Mbps.Reading speend is 54 Mbps. So if you Are Going to buy this,You should go for it.Moreover,It comes With an sd card adapter which can be used for cameras also.So, This Product Is a Must buy.

  
",Excellent Product.Must Buy.,Reviewed in India on 11 December 2017,5,I recieve the memory card today for tested it properly work fine I get gb usable memory transfer speed be about Mbps read speend be Mbps so if you be go to buy this You should go for it moreover It come with an sd card adapter which can be use for camera also so this product be Must buy,pos
12,3.0 out of 5 stars,"









  
  
    
  I recently purchase Samsung EVO Plus Grade 3 Class 10 128GB MicroSDXC Memory Card. Here is my review about the  Samsung memory card:Pros:*I got a free adapter with this card as it mentioned in product's description.*128 GB enough space to put my photo, videos and other data.*smooth installing, no wait for installationCons:*I feel slow speed while transferring data from my Laptop to this MicroSDXC Memory Card while they mentioned Class10 which is not justifiable here.

  
",Speed is slow,Reviewed in India on 2 November 2019,3,I recently purchase Samsung EVO Plus Grade Class GB microsdxc Memory Card here be my review about the Samsung memory card ProsI get free adapter with this card as it mention in product description GB enough space to put my photo video and other datasmooth instal no wait for installationConsI feel slow speed while transfer datum from my Laptop to this microsdxc Memory Card while they mention Class which be not justifiable here,pos
