stars,comment,title,review_date
2.0,"









  
  
    
  I bought this128 GB Samsung Memory card in April 2019 thinking that its at lowest price but disappointed when price dropped more after i bought it.  Further, now since October 2019 card is showing ""corrupted"" status after 73GB data. Data again shows when I unmount and mount card. But again shows Corrupted next day.Very disappointed by SAMSUNG for this.Therefore I changed rating to 2 star only.

  
",Showing corrupted after 73 GB data.,04-Dec-18
5.0,"









  
  
    
  Reviewing after more than a year.Storage for price - 10/10Speeds - 8/10Durability and build - 10/10Water resistance - 10/10Overall this is a Wonderful product. Better than others in the segment. Go for it.

  
",Best for the price.,11-Dec-17
5.0,"









  
  
    
  Things I liked about this product1. It has a 32 gb of storage capacity2. It is a class 10 sd card3. It is value for money4. It is very easy to install Things I did not liked about this product1. It has 32 gb of storage but usable is just 29 gb2. Did not got an adapter with itThings inside the box1. Memory card2. User manualHit helpfull if you like the review

  
",Best to buy memory card,21-May-19
1.0,"









  
  
    
  I purchased this 128GB samsung Sd Card and the storage capacity is only 32GB though the chip i received is a 128GB card. Big time hardware fault. I am unable to return this device since the time has lapsed now. I want amazon folks to act on this. Really disappointed with Samsung and Amazon for bad service and advice people to rethink/verify before buying this product.

  
",Dont buy ! Faulty Product from Samsung ! storage Capacity mismatch,30-Dec-18
4.0,"









  
  
    
  The card wrote at 45-55MB/s thru the adapter and read at  more than 90MB/s.  Great value for money. Good Buy!  A must have product for your DSLR and or smartphones for video recording in 1080P and 4K as well as photographs.

  
",value for money,07-Jun-19
2.0,"









  
  
    
  i never trusted samsung products for storage (since once my hard drive died in just 1 1/2 years). i thought it might have changed now. evo series looked premium & the price was also a little premium as compared to other ones so i thought to give it a try....but sadly after 2 years of use it died. my stopped detecting it suddenly....i tried hooking it up on my pc but that didn't worked either. i did every thing i could to revive it but all in vain. i didnt used the card that much. only some apps were installed in it. no songs, videos or photos.... but still it died...

  
",premium price...short on life...,03-Sep-19
5.0,"









  
  
    
  I recieved the memory Card today for Rs 619.Tested it properly.Working Fine.I Got 29.8 gb Usable memory.Transfer speed was about 17 Mbps.Reading speend is 54 Mbps. So if you Are Going to buy this,You should go for it.Moreover,It comes With an sd card adapter which can be used for cameras also.So, This Product Is a Must buy.

  
",Excellent Product.Must Buy.,04-Dec-18
5.0,"









  
  
    
  The micro sd card is working well and its a quality product. So i must recommend to buy this. The Delivery is exact. Happy customer 😊 100% original in good pricing

  
",Genuine !!! 100% Original Product,04-Dec-18
1.0,"









  
  
    
  totally worst experience from amazon.1st one was not working as i cant use it as an adoptable storage in my device.they replaced with another one .But  same problem cant even format it.. worst experience.When i grab this deal during gr8Indian festival  i was happy. Now i initiated my refund

  
",totally worst experience from amazon,04-Dec-18
5.0,"









  
  
    
  Authentic and works as advertised. I am already using couple of these and had no issues whatsoever.Write speed is around 56mbps so it's fine for recording 4k movies or moving large files.Overall price and performance wise samsung cards have worked upto my expectations hence worth buying.Fingers crossed.

  
",Worth buying.,19-Dec-18
5.0,"









  
  
    
  Beats me how some people come to review products and claim that 32gb sdcard had only 29 gb space. how 64gb pen drive has 57 gb space. If you dont have technical knowledge, do your research and find out. Dont bring your ignorance to undermine good products because your brain is tiny. Every storage device has less capacity than advertised. This is because every storage device has to store some other identifying information which defines its own identity and the identity of its contents. It keeps some space reserved for specific reasons. Even your phone storage and laptop HDD storage works similarly. Open your selfie phone when you pout on it and check its storage, then downvote it on commerce websites because you have an ignorant arrogant tiny brain.As far as this product is concerned, its value for money and works great. I did not check read write speeds because I am not crazy or paranoid and these products are not supposed to have lightening speeds. Recommended.

  
",As advertised,14-Nov-19
1.0,"









  
  
    
  Regretted buying this productWithin 3 months of purchase i lost the data stored on Moto g turbo because it became unreadable.I am still trying to recover itPlease use product for potable storage don't let Moto android device format this for internal storageYou might lose use data because of a bug

  
",Not happy,04-Nov-18
1.0,"









  
  
    
  I received a used cardAs you can see from the picture. The cover was torn for both the card and the adapterPlease dont try to fool your customers and if someone has returned a product, it must have some defects. You cannot just give the returned item to another customer.

  
",Received damaged / used product,01-Jul-19
3.0,"









  
  
    
  I recently purchase Samsung EVO Plus Grade 3 Class 10 128GB MicroSDXC Memory Card. Here is my review about the  Samsung memory card:Pros:*I got a free adapter with this card as it mentioned in product's description.*128 GB enough space to put my photo, videos and other data.*smooth installing, no wait for installationCons:*I feel slow speed while transferring data from my Laptop to this MicroSDXC Memory Card while they mentioned Class10 which is not justifiable here.

  
",Speed is slow,11-Dec-17
1.0,"









  
  
    
  Don't buy this product. If you store an mobile app data on sd card then it allows to access mobile, it frequently restart while using app stored on sd card. The SD card I received may be duplicate the reasons is On cover wrote made in Korea but when look to sd card its wrote made in Philippines and SD card adapter its written made in China. I test it 3 devices it shows same behavior, its frequently switching off mobile. Its not good for mobile. Also it increases the time of charging of mobile. From these things I reach to the conclusion its not original Samsung card. If you love your mobile and devices then don't use this card. I recommend Strontium card that best in use.

  
",Don't buy this SD card its duplicate.,22-Sep-17
5.0,"









  
  
    
  One of the best sd card ever used by me. I transferred a 4.58 gb file in it less then a minute. The best part is it have exactly 63.99 gb space available for storage. I ordered it for my sjcam 8pro for 4k recording and will write further review after using in it.

  
",Superb Samsung,04-Jun-19
4.0,"









  
  
    
  It does exactly what it suppose to do. Gives you that extra storage place and this small chip can hold a whole lot of music, games, pictures, and movies.// Pros //1)  Speed is really good.2) 10 years warranty3) Waterproof, dust proof, weather proof4) Low price5) U3 - Can record 4K// Cons //1) Sometimes it is asking to format✔ Yes, I recommend this product.

  
",Good one..,13-Jul-17
1.0,"









  
  
    
  20mbps write speed 80mbps read speed on my Lenovo p2 & my TV  & my pc & my laptop. It's not a 90\100mbps.i don't know why this problem for Samsung or retailer or Amazon.

  
",20mbps write speed 80mbps read speed on my Lenovo p2 ...,18-Dec-18
1.0,"









  
  
    
  Don't buying this item this is duplicate corrupted Samsung memory card don't buying this 64gb card I will return this card  and I have complaint c-s reply money  time west 1000 % guarantee.

  
",Duplicate corrupted Samsung 64gb 1000% cheating please don't buying.,22-Nov-18
5.0,"









  
  
    
  This is a proper storage card, with no issues in data transfer and storage. Rate of data transmission is good, can be used as phones default storage with no loss in speed/efficiency.Durability is great, won't break on falling or under a bit pressure, water proof - just dry it out first before using. I bought the 64 gb variant at offer price, one gets about 61gb depending on the phone with which you are using. On offer price of Rs 949 should buy it.

  
",Users SD card,03-Mar-18
4.0,"









  
  
    
  I was earlier sent a fake card which I identified in 1 second.Then I ordered a replacement online through Amazon and now I finally got an ORIGINAL Samsung card.I've attached photos the real card's packaging, so you may decide wisely what card you're getting... If you feel something is wrong (detail not matching order, wrong fonts, bad quality print, etc.) return it by going to ""My order"" on Amazon and ask for original one immediately....The write speed, as guaranteed by U3 marking should be above 30MB/ second as per Memory card association.In my card it was claimed to be 90MB/ second on package, and 100MB/ second read speed.Of course, on an older system with no so accurate readers, you get around 20 MB/ second maximum. But on newer mobiles phones, you do get upto 60-90 MB/second or so.This card is good for phones supporting SDXC, and remember, it may also be supported on phones which claim to support much less.Example, My Redmi 2 Prime claimed to support only 32GB, and guess what, 64 and even 128 GB cards from both Samsung and Sandisk were supported and ran awesome!! Please remember SDXC standard supports very high capacities, maybe upto 512 GB. SDHC, an older standard supports only upto 32GB.Card was made in Phillipines. A useful SD adaptor (with a writing-lock switch) was supplied which was made in China.Capacity that came was 119GB, which is slightly more than 128,000,000,000 bytes.(The difference in capacity is due to 1024 bytes=1KB and 1024KB= 1MB and 1024 MB = 1GB).

  
",Was sent a fake. Now all ok.,22-Nov-18
3.0,"









  
  
    
  First off the average user or photographer will have no trouble with this card, as it has great storage capacity. I've been using one for about a year now and it still performs well, although with a few hiccups here and there. However, this is not a fast card, and I cannot recommend it for any professional use. Using burst mode on my Nikon (shooting RAW) shows a considerable lag between the shots being taken and written to the card - so you'll be severely limited in your shooting capacity. It also takes a considerable amount of time to copy data on/off so the ""100MB/s"" sales pitch is just a gimmick.Occasionally, the card refuses to read on my camera, for no apparent reason.That being said this is a very affordable option for a bit of hobby photography or for storing your files, but I wouldn't trust its reliability and I certainly don't recommend it for professional work. Buy something like a Samsung Pro SDXC or PNY card for that instead.

  
","Decent, but avoid for professional work",22-Dec-18
4.0,"









  
  
    
  Product shipment fast. Most Samsung card in local store are duplicates. This one from Appario found original. Made in Philippines. Card i got from Malaysia last year made in Malaysia from Samsung had 95 and 83mbps. Indian version seem little slow . I found read speed surprisingly low than san disk. But SanDisk write speed is 35mbps in india for same price. Sandisk A1 card. So I'm okey with overall. SanDisk read is always above 70mbps in A1 card above 64gb. 32 gb cards of both brands have less speed. I don't know y. Speed is depend on size of card

  
",Actual speed Rating  59 read 47 write in Mbps,11-Dec-17
