,review_date,review_content,stars,lemmatized,tokenized,POLARITY,SUBJECTIVITY,scores,compound,neu_score,pos_score,neg_score,sentiment,nmf_topics,lda_topics
0,04-Dec-18,bought gb samsung memory card in april thinking that its at lowest price but disappointed when price dropped more after bought it further now since october card is showing corrupted status after data data again shows when unmount and mount card but again shows corrupted next day very disappointed by samsung for this therefore changed rating to star only,2.0,buy gb samsung memory card april thinking low price disappoint price drop buy october card show corrupted status datum datum show unmount mount card show corrupt day disappointed samsung change rating star,buy gb samsung memory card april thinking low price disappoint price drop buy october card show corrupted status datum datum show unmount mount card show corrupt day disappointed samsung change rating star,-0.4166666666666667,0.6833333333333332,"{'neg': 0.263, 'neu': 0.737, 'pos': 0.0, 'compound': -0.8402}",-0.8402,0.737,0.0,0.263,neg,working rate,Storage capacity
1,11-Dec-17,reviewing after more than year storage for price and build resistance this is wonderful product better than others in the segment go for it,5.0,review year storage price build resistance wonderful product well segment,review year storage price build resistance wonderful product well segment,1.0,1.0,"{'neg': 0.0, 'neu': 0.58, 'pos': 0.42, 'compound': 0.7003}",0.7003,0.58,0.42,0.0,pos,Quality,Storage capacity
2,21-May-19,things liked about this it has gb of storage it is class sd it is value for it is very easy to install things did not liked about this it has gb of storage but usable is just did not got an adapter with itthings inside the memory user manualhit helpfull if you like the review,5.0,thing like gb storage class sd value easy install thing like gb storage usable get adapter itthing inside memory user manualhit helpfull like review,thing like gb storage class sd value easy install thing like gb storage usable get adapter itthing inside memory user manualhit helpfull like review,0.43333333333333335,0.8333333333333334,"{'neg': 0.0, 'neu': 0.597, 'pos': 0.403, 'compound': 0.8957}",0.8957,0.597,0.403,0.0,pos,working rate,Storage capacity
3,30-Dec-18,purchased this samsung sd card and the storage capacity is only though the chip received is card big time hardware fault am unable to return this device since the time has lapsed now want amazon folks to act on this really disappointed with samsung and amazon for bad service and advice people to rethink verify before buying this product,1.0,purchase samsung sd card storage capacity chip receive card big time hardware fault unable return device time lapse want amazon folk act disappointed samsung amazon bad service advice people rethink verify buy product,purchase samsung sd card storage capacity chip receive card big time hardware fault unable return device time lapse want amazon folk act disappointed samsung amazon bad service advice people rethink verify buy product,-0.48749999999999993,0.5041666666666667,"{'neg': 0.227, 'neu': 0.659, 'pos': 0.115, 'compound': -0.765}",-0.765,0.659,0.115,0.227,neg,working rate,Warranty issues
4,07-Jun-19,the card wrote at thru the adapter and read at more than great value for money good buy must have product for your dslr and or smartphones for video recording in and as well as photographs,4.0,card write adapter read great value money good buy product dslr smartphone video recording photograph,card write adapter read great value money good buy product dslr smartphone video recording photograph,0.75,0.675,"{'neg': 0.0, 'neu': 0.561, 'pos': 0.439, 'compound': 0.8555}",0.8555,0.561,0.439,0.0,pos,value for money,value for money
5,03-Sep-19,never trusted samsung products for storage since once my hard drive died in just years thought it might have changed now evo series looked premium the price was also little premium as compared to other ones so thought to give it try but sadly after years of use it died my stopped detecting it suddenly tried hooking it up on my pc but that didn worked either did every thing could to revive it but all in vain didnt used the card that much only some apps were installed in it no songs videos or photos but still it died,2.0,trust samsung product storage hard drive die year think change evo series look premium price little premium compare one think try sadly year use die stop detect suddenly try hook pc didn work thing revive vain not card app instal song video photo die,trust samsung product storage hard drive die year think change evo series look premium price little premium compare one think try sadly year use die stop detect suddenly try hook pc didn work thing revive vain not card app instal song video photo die,-0.24479166666666669,0.6354166666666666,"{'neg': 0.339, 'neu': 0.568, 'pos': 0.093, 'compound': -0.9349}",-0.9349,0.568,0.093,0.339,neg,working rate,Storage capacity
6,04-Dec-18,recieved the memory card today for rs tested it properly working fine got gb usable memory transfer speed was about mbps reading speend is mbps so if you are going to buy this you should go for it moreover it comes with an sd card adapter which can be used for cameras also so this product is must buy,5.0,recieve memory card today rs test properly work fine get gb usable memory transfer speed mbps reading speend mbps go buy come sd card adapter camera product buy,recieve memory card today rs test properly work fine get gb usable memory transfer speed mbps reading speend mbps go buy come sd card adapter camera product buy,0.20833333333333334,0.3,"{'neg': 0.0, 'neu': 0.938, 'pos': 0.062, 'compound': 0.2023}",0.2023,0.938,0.062,0.0,pos,working rate,Performance
7,04-Dec-18,the micro sd card is working well and its quality product so must recommend to buy this the delivery is exact happy customer original in good pricing,5.0,micro sd card work quality product recommend buy delivery exact happy customer original good pricing,micro sd card work quality product recommend buy delivery exact happy customer original good pricing,0.53125,0.65,"{'neg': 0.0, 'neu': 0.491, 'pos': 0.509, 'compound': 0.886}",0.886,0.491,0.509,0.0,pos,working rate,Quality
8,04-Dec-18,totally worst experience from amazon one was not working as cant use it as an adoptable storage in my device they replaced with another one but same problem cant even format it worst experience when grab this deal during festival was happy now initiated my refund,1.0,totally bad experience amazon work not use adoptable storage device replace problem not format bad experience grab deal festival happy initiate refund,totally bad experience amazon work not use adoptable storage device replace problem not format bad experience grab deal festival happy initiate refund,-0.19999999999999987,0.7777777777777777,"{'neg': 0.19, 'neu': 0.468, 'pos': 0.342, 'compound': 0.6394}",0.6394,0.468,0.342,0.19,pos,working rate,Storage capacity
9,19-Dec-18,authentic and works as advertised am already using couple of these and had no issues whatsoever write speed is around so it fine for recording movies or moving large files overall price and performance wise samsung cards have worked upto my expectations hence worth buying fingers crossed,5.0,authentic work advertise couple issue whatsoever write speed fine record movie move large file overall price performance wise samsung card work upto expectation worth buy finger cross,authentic work advertise couple issue whatsoever write speed fine record movie move large file overall price performance wise samsung card work upto expectation worth buy finger cross,0.304421768707483,0.38265306122448983,"{'neg': 0.0, 'neu': 0.779, 'pos': 0.221, 'compound': 0.7003}",0.7003,0.779,0.221,0.0,pos,working rate,value for money
10,14-Nov-19,beats me how some people come to review products and claim that sdcard had only gb space how pen drive has gb space if you dont have technical knowledge do your research and find out dont bring your ignorance to undermine good products because your brain is tiny every storage device has less capacity than advertised this is because every storage device has to store some other identifying information which defines its own identity and the identity of its contents it keeps some space reserved for specific reasons even your phone storage and laptop hdd storage works similarly open your selfie phone when you pout on it and check its storage then downvote it on commerce websites because you have an ignorant arrogant tiny brain as far as this product is concerned its value for money and works great did not check read write speeds because am not crazy or paranoid and these products are not supposed to have lightening speeds recommended,5.0,beat people come review product claim sdcard gb space pen drive gb space not technical knowledge research find not bring ignorance undermine good product brain tiny storage device capacity advertise storage device store identify information define identity identity content keep space reserve specific reason phone storage laptop hdd storage work similarly open selfie phone pout check storage downvote commerce website ignorant arrogant tiny brain far product concern value money work great check read write speed crazy paranoid product suppose lighten speed recommend,beat people come review product claim sdcard gb space pen drive gb space not technical knowledge research find not bring ignorance undermine good product brain tiny storage device capacity advertise storage device store identify information define identity identity content keep space reserve specific reason phone storage laptop hdd storage work similarly open selfie phone pout check storage downvote commerce website ignorant arrogant tiny brain far product concern value money work great check read write speed crazy paranoid product suppose lighten speed recommend,0.1111111111111111,0.5527777777777778,"{'neg': 0.099, 'neu': 0.738, 'pos': 0.163, 'compound': 0.735}",0.735,0.738,0.163,0.099,pos,working rate,Storage capacity
11,04-Nov-18,regretted buying this productwithin months of purchase lost the data stored on moto turbo because it became unreadable am still trying to recover itplease use product for potable storage don let moto android device format this for internal storageyou might lose use data because of bug,1.0,regret buy productwithin month purchase lose datum store moto turbo unreadable try recover itplease use product potable storage don let moto android device format internal storageyou lose use datum bug,regret buy productwithin month purchase lose datum store moto turbo unreadable try recover itplease use product potable storage don let moto android device format internal storageyou lose use datum bug,0.0,0.0,"{'neg': 0.233, 'neu': 0.767, 'pos': 0.0, 'compound': -0.802}",-0.802,0.767,0.0,0.233,neg,working rate,Storage capacity
12,01-Jul-19,received used cardas you can see from the picture the cover was torn for both the card and the adapterplease dont try to fool your customers and if someone has returned product it must have some defects you cannot just give the returned item to another customer,1.0,receive carda picture cover tear card adapterplease not try fool customer return product defect return item customer,receive carda picture cover tear card adapterplease not try fool customer return product defect return item customer,0.0,0.0,"{'neg': 0.121, 'neu': 0.757, 'pos': 0.121, 'compound': 0.0015}",0.0015,0.757,0.121,0.121,neu,Quality,Warranty issues
13,11-Dec-17,recently purchase samsung evo plus grade class microsdxc memory card here is my review about the samsung memory card pros got free adapter with this card as it mentioned in product description gb enough space to put my photo videos and other data smooth installing no wait for installationcons feel slow speed while transferring data from my laptop to this microsdxc memory card while they mentioned which is not justifiable here,3.0,recently purchase samsung evo plus grade class microsdxc memory card review samsung memory card pro get free adapter card mention product description gb space photo video datum smooth instal wait installationcon feel slow speed transfer datum laptop microsdxc memory card mention justifiable,recently purchase samsung evo plus grade class microsdxc memory card review samsung memory card pro get free adapter card mention product description gb space photo video datum smooth instal wait installationcon feel slow speed transfer datum laptop microsdxc memory card mention justifiable,0.125,0.4875,"{'neg': 0.0, 'neu': 0.926, 'pos': 0.074, 'compound': 0.5106}",0.5106,0.926,0.074,0.0,pos,working rate,Performance
14,22-Sep-17,don buy this product if you store an mobile app data on sd card then it allows to access mobile it frequently restart while using app stored on sd card the sd card received may be duplicate the reasons is on cover wrote made in korea but when look to sd card its wrote made in philippines and sd card adapter its written made in china test it devices it shows same behavior its frequently switching off mobile its not good for mobile also it increases the time of charging of mobile from these things reach to the conclusion its not original samsung card if you love your mobile and devices then don use this card recommend strontium card that best in use,1.0,don buy product store mobile app datum sd card allow access mobile frequently restart app store sd card sd card receive duplicate reason cover write korea look sd card write philippine sd card adapter write china test device show behavior frequently switch mobile good mobile increase time charging mobile thing reach conclusion original samsung card love mobile device don use card recommend strontium card well use,don buy product store mobile app datum sd card allow access mobile frequently restart app store sd card sd card receive duplicate reason cover write korea look sd card write philippine sd card adapter write china test device show behavior frequently switch mobile good mobile increase time charging mobile thing reach conclusion original samsung card love mobile device don use card recommend strontium card well use,0.355,0.51,"{'neg': 0.0, 'neu': 0.75, 'pos': 0.25, 'compound': 0.946}",0.946,0.75,0.25,0.0,pos,working rate,Storage capacity
15,04-Jun-19,one of the best sd card ever used by me transferred gb file in it less then minute the best part is it have exactly gb space available for storage ordered it for my sjcam for recording and will write further review after using in it,5.0,good sd card transfer gb file minute good exactly gb space available storage order sjcam recording write review,good sd card transfer gb file minute good exactly gb space available storage order sjcam recording write review,0.5125,0.4625,"{'neg': 0.0, 'neu': 0.734, 'pos': 0.266, 'compound': 0.7003}",0.7003,0.734,0.266,0.0,pos,working rate,Storage capacity
16,13-Jul-17,it does exactly what it suppose to do gives you that extra storage place and this small chip can hold whole lot of music games pictures and movies pros speed is really good years waterproof dust proof weather low can record cons sometimes it is asking to format yes recommend this product,4.0,exactly suppose give extra storage place small chip hold lot music game picture movie pro speed good year waterproof dust proof weather low record con ask format yes recommend product,exactly suppose give extra storage place small chip hold lot music game picture movie pro speed good year waterproof dust proof weather low record con ask format yes recommend product,0.04999999999999999,0.3416666666666666,"{'neg': 0.058, 'neu': 0.718, 'pos': 0.224, 'compound': 0.7184}",0.7184,0.718,0.224,0.058,pos,working rate,Storage capacity
17,18-Dec-18, write speed read speed on my lenovo my tv my pc my laptop it not don know why this problem for samsung or retailer or amazon,1.0,  write speed read speed lenovo tv pc laptop don know problem samsung retailer amazon,  write speed read speed lenovo tv pc laptop don know problem samsung retailer amazon,0.0,0.0,"{'neg': 0.165, 'neu': 0.732, 'pos': 0.104, 'compound': -0.25}",-0.25,0.732,0.104,0.165,neg,working rate,Performance
18,22-Nov-18,don buying this item this is duplicate corrupted samsung memory card don buying this card will return this card and have complaint reply money time west guarantee,1.0,don buy item duplicate corrupt samsung memory card don buy card return card complaint reply money time west guarantee,don buy item duplicate corrupt samsung memory card don buy card return card complaint reply money time west guarantee,-0.4,0.6,"{'neg': 0.104, 'neu': 0.802, 'pos': 0.094, 'compound': -0.0516}",-0.0516,0.802,0.094,0.104,neu,working rate,Warranty issues
19,03-Mar-18,this is proper storage card with no issues in data transfer and storage rate of data transmission is good can be used as phones default storage with no loss in speed efficiency durability is great won break on falling or under bit pressure water proof just dry it out first before using bought the gb variant at offer price one gets about depending on the phone with which you are using on offer price of rs should buy it,5.0,proper storage card issue datum transfer storage rate datum transmission good phone default storage loss speed efficiency durability great won break fall bit pressure water proof dry buy gb variant offer price get depend phone offer price rs buy,proper storage card issue datum transfer storage rate datum transmission good phone default storage loss speed efficiency durability great won break fall bit pressure water proof dry buy gb variant offer price get depend phone offer price rs buy,0.35833333333333334,0.5125000000000001,"{'neg': 0.089, 'neu': 0.651, 'pos': 0.26, 'compound': 0.8658}",0.8658,0.651,0.26,0.089,pos,working rate,Storage capacity
20,22-Nov-18,was earlier sent fake card which identified in second then ordered replacement online through amazon and now finally got an original samsung card ve attached photos the real card packaging so you may decide wisely what card you re getting if you feel something is wrong detail not matching order wrong fonts bad quality print etc return it by going to my order on amazon and ask for original one immediately the write speed as guaranteed by marking should be above second as per memory card association in my card it was claimed to be second on package and second read speed of course on an older system with no so accurate readers you get around mb second maximum but on newer mobiles phones you do get upto mb second or so this card is good for phones supporting sdxc and remember it may also be supported on phones which claim to support much less example my redmi prime claimed to support only and guess what and even gb cards from both samsung and sandisk were supported and ran awesome please remember sdxc standard supports very high capacities maybe upto gb sdhc an older standard supports only upto card was made in phillipines useful sd adapter with writing lock switch was supplied which was made in china capacity that came was which is slightly more than bytes the difference in capacity is due to bytes and and mb ,4.0,early send fake card identify second order replacement online amazon finally get original samsung card ve attach photo real card packaging decide wisely card get feel wrong detail match order wrong font bad quality print etc return go order amazon ask original immediately write speed guarantee mark second memory card association card claim second package second read speed course old system accurate reader mb second maximum new mobile phone upto mb second card good phone support sdxc remember support phone claim support example redmi prime claim support guess gb card samsung sandisk support run awesome remember sdxc standard support high capacity maybe upto gb sdhc old standard support upto card phillipine useful sd adapter write lock switch supply china capacity come slightly byte difference capacity byte mb,early send fake card identify second order replacement online amazon finally get original samsung card ve attach photo real card packaging decide wisely card get feel wrong detail match order wrong font bad quality print etc return go order amazon ask original immediately write speed guarantee mark second memory card association card claim second package second read speed course old system accurate reader mb second maximum new mobile phone upto mb second card good phone support sdxc remember support phone claim support example redmi prime claim support guess gb card samsung sandisk support run awesome remember sdxc standard support high capacity maybe upto gb sdhc old standard support upto card phillipine useful sd adapter write lock switch supply china capacity come slightly byte difference capacity byte mb,0.08443322109988777,0.4170819304152637,"{'neg': 0.079, 'neu': 0.663, 'pos': 0.258, 'compound': 0.9744}",0.9744,0.663,0.258,0.079,pos,working rate,Storage capacity
